last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Cabrera, Oswaldo,665828,2022,.220,.361,.287,.288,.141,86.8,21.5,41.1,6.3,
Cruz, Oneil,665833,2022,.223,.410,.304,.286,.188,91.9,8.3,30.6,15.5,
Rivero, Sebastian ,665861,2022,.163,.263,.221,.223,.100,87.2,12.7,17.6,5.9,
Chisholm Jr., Jazz,665862,2022,.242,.473,.345,.320,.230,90.4,15.5,37.3,16.7,
Ruiz, Esteury,665923,2022,.205,.255,.216,.227,.050,73,19.2,32.1,3.6,
Gimenez, Andres,665926,2022,.257,.400,.326,.336,.143,87.8,11.7,31.3,6.2,
Aranda, Jonathan,666018,2022,.205,.348,.279,.288,.143,91.1,5.9,29.1,7.3,
Jones, Nolan,666134,2022,.254,.436,.325,.317,.182,89.3,15.9,49.1,14.5,
Kirilloff, Alex,666135,2022,.228,.365,.278,.270,.137,89.3,6.1,28.2,6.4,
Lowe, Josh,666139,2022,.212,.339,.272,.276,.127,88.3,11.4,47.4,5.2,
Lux, Gavin,666158,2022,.247,.372,.314,.325,.124,88,6.8,34,6.1,
Moniak, Mickey,666160,2022,.155,.262,.203,.193,.107,84.9,19.1,22.2,7.9,
Adell, Jo,666176,2022,.201,.315,.251,.245,.114,87.4,16.7,33.3,9.9,
Beer, Seth,666179,2022,.215,.315,.276,.302,.101,85.9,10.7,33.3,3.7,
Benson, Will,666181,2022,.181,.228,.224,.249,.048,84.2,10.4,18.9,0,
Bichette, Bo,666182,2022,.278,.444,.334,.322,.166,91.9,8.5,33.3,9.6,
Carlson, Dylan,666185,2022,.234,.355,.301,.316,.121,86.1,12.9,35.7,4.4,
Trammell, Taylor,666211,2022,.206,.357,.292,.294,.151,88.3,20.5,29.6,9.9,
Encarnacion, Jerar,666464,2022,.184,.296,.231,.220,.112,90.5,8,30.4,6.5,
Morel, Christopher,666624,2022,.233,.435,.324,.307,.202,89.6,9.1,30,13.4,
Castro, Rodolfo,666801,2022,.210,.354,.280,.276,.144,87.3,11.7,25.6,6.7,
Dalbec, Bobby,666915,2022,.216,.379,.296,.287,.163,90.3,15.2,32,11.8,
Aguilar, Ryan,666922,2022,.131,.202,.204,.228,.071,93.3,10.5,44.4,0,
Garcia, Adolis,666969,2022,.244,.447,.322,.296,.204,92.1,13.2,36.9,12.9,
Gurriel Jr., Lourdes,666971,2022,.273,.400,.321,.328,.127,90.6,10.9,34.7,3.8,
Rooker Jr., Brent,667670,2022,.183,.306,.264,.274,.123,87.8,13.5,33.3,4.8,
Arozarena, Randy,668227,2022,.234,.382,.301,.301,.148,89.9,8.8,28.2,7.9,
Pratto, Nick,668472,2022,.173,.322,.267,.266,.149,86,19.7,34.4,12.5,
Barrera, Tres,668663,2022,.167,.214,.187,.199,.047,81.8,21.4,31.4,0,
Bleday, JJ,668709,2022,.188,.313,.278,.296,.126,86.3,25,37.4,8.6,
Steer, Spencer,668715,2022,.209,.308,.281,.305,.099,84.7,13.6,30.4,5.8,
